Alloy,No,S_Phase,Phase,a (�),delta,Tm (K),D_Tm (K),Hmix (kJ/mol),?Hmix (kJ/mol),Sid (kJ/mol),Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus (GPa),D_Bulk (GPa),Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,I,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,Ns,O,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr
Ag5Sn,2,IM,IM,1.603333333,0.00464879,1113.288333,271.9990356,-1.666666667,0.496903995,0.450561209,1.935,0.01118034,9.833333333,2.608745974,93,15.65247584,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AgTi3,2,IM,IM,1.4965,0.039930339,1764.4825,305.7372784,-1.5,0.216506351,0.562335145,1.6375,0.168874954,5.75,3.031088913,107.5,4.330127019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AgZn3,2,IM,IM,1.44625,0.061377773,828.2425,234.8011376,-3,0.433012702,0.562335145,1.72,0.121243557,11.75,0.433012702,77.5,12.99038106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AgZr,2,IM,IM,1.6015,0.000936622,1681.465,446.535,-20,0,0.693147181,1.63,0.3,7.5,3.5,50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlB12,2,IM,IM,0.894769231,0.173324204,2240.113077,377.1953661,0,0,0.271189373,2.006923077,0.114581823,3,0,212.6153846,39.43746454,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlB2,2,IM,IM,1.044,0.262794474,1877.156667,667.2872413,0,0,0.636514168,1.896666667,0.202703944,3,0,174.6666667,69.76786908,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al3Ca8,2,IM,IM,1.827636364,0.132562915,1065.491818,80.84652236,-15.8677686,1.840337898,0.585952618,1.166363636,0.271670681,2.272727273,0.445361771,33.09090909,26.27634451,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al4Ca,2,IM,IM,1.5408,0.141225337,969.776,72.612,-12.8,2.88,0.500402424,1.488,0.244,2.8,0.4,64.2,23.6,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al11Ce3,2,IM,IM,1.478714286,0.060492448,962.2978571,55.20114377,-25.59183673,5.0913908,0.519579839,1.505,0.201059693,3.214285714,0.410325903,64.42857143,22.15759878,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2Ce,2,IM,IM,1.504666667,0.068298307,978.3133333,63.41805018,-33.77777778,1.990374643,0.636514168,1.446666667,0.230988215,3.333333333,0.471404521,58,25.45584412,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCe1,2,IM,IM,1.541,0.07073329,1000.735,67.265,-38,0,0.693147181,1.365,0.245,3.5,0.5,49,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al13Co4,2,IM,IM,1.389411765,0.055258661,1129.83,353.9930242,-13.67474048,2.25888191,0.545594574,1.673529412,0.114529276,4.411764706,2.545095018,100.4705882,44.11498031,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al5Co2,2,IM,IM,1.380285714,0.059239521,1171.907143,377.0022251,-15.51020408,1.576529096,0.598269589,1.687142857,0.121973567,4.714285714,2.710523709,105.7142857,46.98241095,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al9Co2,2,IM,IM,1.399090909,0.049897204,1085.202727,321.8737211,-11.30578512,2.96761719,0.474139313,1.659090909,0.104137544,4.090909091,2.314167648,94.90909091,40.11223922,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCo,2,IM,IM,1.3415,0.067461796,1350.735,417.265,-19,0,0.693147181,1.745,0.135,6,3,128,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al45Cr7,2,IM,IM,1.407365385,0.044380905,1101.272115,425.4560153,-4.659763314,1.82268844,0.395067121,1.616730769,0.017065615,3.403846154,1.023936886,87.30769231,28.6702328,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2Cu,2,IM,IM,1.380666667,0.05258061,1074.903333,200.0169382,-0.888888889,0.05237828,0.636514168,1.706666667,0.136707311,5.666666667,3.771236166,97.33333333,30.16988933,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al4Cu3,2,IM,IM,1.366,0.055790802,1115.312857,209.974045,-0.979591837,0.010099422,0.682908105,1.734285714,0.143512781,6.428571429,3.958973274,103.4285714,31.6717862,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al4Cu5,2,IM,IM,1.346444444,0.056833548,1169.192222,210.8363651,-0.987654321,0.006134617,0.686961577,1.771111111,0.144102159,7.444444444,3.97523196,111.5555556,31.80185568,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlEr2,2,IM,IM,1.648,0.092679044,1512.49,409.4289684,-33.77777778,1.990374643,0.636514168,1.363333333,0.174419673,10.33333333,5.185449729,54.66666667,15.08494467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2Fe,2,IM,IM,1.368333333,0.065801411,1225.98,413.6716091,-9.777777778,0.576161081,0.636514168,1.683333333,0.103708995,4.666666667,2.357022604,107.3333333,44.31202495,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al3In,2,IM,IM,1.464,0.037859034,807.54,218.1171582,5.25,0.757772228,0.562335145,1.6525,0.073612159,3,0,57,32.90896534,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2La,2,IM,IM,1.581,0.133281354,1019.98,122.3436153,-33.77777778,1.990374643,0.636514168,1.44,0.240416306,3,0,60,22.627417,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlLa,2,IM,IM,1.6555,0.13500453,1063.235,129.765,-38,0,0.693147181,1.355,0.255,3,0,52,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al4Li9,2,IM,IM,1.492923077,0.027205276,601.2869231,221.4553846,-3.408284024,0.273099681,0.61724177,1.173846154,0.290769231,1.615384615,0.923076923,31,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al12Mg17,2,IM,IM,1.531068966,0.054363704,927.3324138,5.156603838,-1.940546968,0.02928135,0.678209394,1.434137931,0.147753692,2.413793103,0.492512305,57.82758621,15.26788147,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al3Mg2,2,IM,IM,1.4996,0.055209892,929.282,5.129231521,-1.92,0.039191836,0.673011667,1.49,0.146969385,2.6,0.489897949,63.6,15.18683641,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al11Mn4,2,IM,IM,1.410133333,0.025715132,1089.611333,258.9311085,-14.86222222,1.829794181,0.579915171,1.594,0.026532998,4.066666667,1.768866555,87.73333333,19.4575321,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2Mn,2,IM,IM,1.404666667,0.027519106,1128.646667,276.0214891,-16.88888889,0.995187322,0.636514168,1.59,0.028284271,4.333333333,1.885618083,90.66666667,20.74179891,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al4Mn,2,IM,IM,1.4156,0.023170387,1050.576,234.212,-12.16,2.736,0.500402424,1.598,0.024,3.8,1.6,84.8,17.6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al6Mn,2,IM,IM,1.420285714,0.020202993,1017.117143,204.8928184,-9.306122449,3.392150518,0.410116318,1.601428571,0.020995626,3.571428571,1.399708424,82.28571429,15.39679267,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al8Mn5,2,IM,IM,1.400461538,0.028485858,1158.673846,284.8628367,-17.98816568,0.492261702,0.666278442,1.586923077,0.029190255,4.538461538,1.946017022,92.92307692,21.40618724,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al9Mn11,2,IM,IM,1.3869,0.02941415,1255.5115,291.297497,-18.81,0.094523807,0.688138814,1.577,0.029849623,5.2,1.989974874,100.2,21.88972362,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMn,2,IM,IM,1.391,0.029475198,1226.235,292.765,-19,0,0.693147181,1.58,0.03,5,2,98,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMo,2,IM,IM,1.441,0.006245663,1914.735,981.265,-5,0,0.693147181,1.885,0.275,4.5,1.5,153,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlNd,2,IM,IM,1.641,0.127361365,1115.235,181.765,-38,0,0.693147181,1.375,0.235,4.5,1.5,54,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlNi,2,IM,IM,1.339,0.069454817,1330.735,397.265,-22,0,0.693147181,1.76,0.15,6.5,3.5,128,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlRe2,2,IM,IM,1.394,0.019275508,2617.156667,1190.546259,-8,0.471404521,0.636514168,1.803333333,0.136707311,5.666666667,1.885618083,272,138.5929291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al13Ru4,2,IM,IM,1.409882353,0.028281193,1327.241765,709.8821442,-15.11418685,2.496658954,0.545594574,1.748823529,0.250267677,4.176470588,2.120912515,109.8823529,61.08228043,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2Ru,2,IM,IM,1.400666667,0.031636381,1491.313333,788.9096077,-18.66666667,1.099943882,0.636514168,1.806666667,0.278128667,4.666666667,2.357022604,124,67.88225099,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al3Ru2,2,IM,IM,1.3944,0.033025249,1602.882,819.8589138,-20.16,0.411514277,0.673011667,1.846,0.28903979,5,2.449489743,133.6,70.54530459,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al17Sb3,2,IM,IM,1.4167,0.025708537,929.0165,10.6014505,1.02,0.349929993,0.422709088,1.676,0.157111425,3.3,0.714142843,70.9,12.14042833,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlSb,2,IM,IM,1.381,0.036929761,918.625,14.845,2,0,0.693147181,1.83,0.22,4,1,59,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al11Sm3,2,IM,IM,1.480857143,0.063175781,1021.655,168.861419,-25.59183673,5.0913908,0.519579839,1.515714286,0.180543397,4.071428571,2.051629517,67.85714286,15.59238433,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2Sm,2,IM,IM,1.508,0.071273363,1070.646667,193.9971024,-33.77777778,1.990374643,0.636514168,1.463333333,0.207417989,4.666666667,2.357022604,63.33333333,17.91337179,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
